game_id,turn_index,current_player,opponent_player,n,k,board_before_move,move_row,move_col,blocked_windows,empty_cells,my_center_control,my_immediate_wins,my_marks,my_open_1,my_open_2,my_open_lines,my_two_way_threats,my_winning_windows,neutral_windows,opp_center_control,opp_immediate_wins,opp_marks,opp_open_1,opp_open_2,opp_open_lines,opp_two_way_threats,opp_winning_windows,total_windows,final_winner,final_outcome
174,0,X,O,4,3,"[[null,null,null,null],[null,null,null,null],[null,null,null,null],[null,null,null,null]]",2,1,0,16,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,24,X,1
174,1,O,X,4,3,"[[null,null,null,null],[null,null,null,null],[null,""X"",null,null],[null,null,null,null]]",0,2,0,15,0,0,0,0,0,0,0,0,17,1,0,1,7,0,7,3,0,24,X,-1
174,2,X,O,4,3,"[[null,null,""O"",null],[null,null,null,null],[null,""X"",null,null],[null,null,null,null]]",1,2,0,14,1,0,1,7,0,7,3,0,13,0,0,1,4,0,4,1,0,24,X,1
174,3,O,X,4,3,"[[null,null,""O"",null],[null,null,""X"",null],[null,""X"",null,null],[null,null,null,null]]",1,0,1,13,0,0,1,3,0,3,1,0,9,2,2,2,9,2,11,6,0,24,X,-1
174,4,X,O,4,3,"[[null,null,""O"",null],[""O"",null,""X"",null],[null,""X"",null,null],[null,null,null,null]]",0,3,3,12,2,2,2,7,2,9,4,0,7,0,0,2,5,0,5,3,0,24,X,1
175,0,X,O,4,3,"[[null,null,null,null],[null,null,null,null],[null,null,null,null],[null,null,null,null]]",2,3,0,16,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,24,O,-1
175,1,O,X,4,3,"[[null,null,null,null],[null,null,null,null],[null,null,null,""X""],[null,null,null,null]]",2,1,0,15,0,0,0,0,0,0,0,0,20,0,0,1,4,0,4,1,0,24,O,1
175,2,X,O,4,3,"[[null,null,null,null],[null,null,null,null],[null,""O"",null,""X""],[null,null,null,null]]",1,1,1,14,0,0,1,3,0,3,1,0,14,1,0,1,6,0,6,2,0,24,O,-1
175,3,O,X,4,3,"[[null,null,null,null],[null,""X"",null,null],[null,""O"",null,""X""],[null,null,null,null]]",2,2,3,13,1,0,1,4,0,4,1,0,9,1,0,2,8,0,8,4,0,24,O,1
175,4,X,O,4,3,"[[null,null,null,null],[null,""X"",null,null],[null,""O"",""O"",""X""],[null,null,null,null]]",3,1,5,12,1,0,2,6,0,6,2,0,6,2,1,2,6,1,7,2,0,24,O,-1
175,5,O,X,4,3,"[[null,null,null,null],[null,""X"",null,null],[null,""O"",""O"",""X""],[null,""X"",null,null]]",2,0,6,11,2,1,2,5,1,6,2,0,4,1,0,3,8,0,8,4,0,24,O,1
176,0,X,O,4,3,"[[null,null,null,null],[null,null,null,null],[null,null,null,null],[null,null,null,null]]",2,1,0,16,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,24,X,1
176,1,O,X,4,3,"[[null,null,null,null],[null,null,null,null],[null,""X"",null,null],[null,null,null,null]]",2,0,0,15,0,0,0,0,0,0,0,0,17,1,0,1,7,0,7,3,0,24,X,-1
176,2,X,O,4,3,"[[null,null,null,null],[null,null,null,null],[""O"",""X"",null,null],[null,null,null,null]]",1,1,1,14,1,0,1,6,0,6,2,0,14,0,0,1,3,0,3,1,0,24,X,1
176,3,O,X,4,3,"[[null,null,null,null],[null,""X"",null,null],[""O"",""X"",null,null],[null,null,null,null]]",2,3,2,13,0,0,1,2,0,2,1,0,10,2,2,2,8,2,10,3,0,24,X,-1
176,4,X,O,4,3,"[[null,null,null,null],[null,""X"",null,null],[""O"",""X"",null,""O""],[null,null,null,null]]",0,1,3,12,2,2,2,7,2,9,3,0,7,0,0,2,5,0,5,2,0,24,X,1
177,0,X,O,4,3,"[[null,null,null,null],[null,null,null,null],[null,null,null,null],[null,null,null,null]]",1,2,0,16,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,24,O,-1
177,1,O,X,4,3,"[[null,null,null,null],[null,null,""X"",null],[null,null,null,null],[null,null,null,null]]",1,1,0,15,0,0,0,0,0,0,0,0,17,1,0,1,7,0,7,3,0,24,O,1
177,2,X,O,4,3,"[[null,null,null,null],[null,""O"",""X"",null],[null,null,null,null],[null,null,null,null]]",0,3,2,14,1,0,1,5,0,5,2,0,12,1,0,1,5,0,5,2,0,24,O,-1
